Source,Target,Weight,Type
train___cat.0.jpg,cat,1.0,provided
train___cat.1.jpg,cat,1.0,provided
train___cat.10.jpg,cat,1.0,provided
train___cat.100.jpg,cat,1.0,provided
train___cat.1000.jpg,cat,1.0,provided
train___cat.10000.jpg,cat,1.0,provided
train___cat.10001.jpg,cat,1.0,provided
train___cat.10001.jpg,cats,0.98,defaultAlgorithm
train___cat.10001.jpg,dogs,0.001,defaultAlgorithm
train___cat.10001.jpg,mickey-mouse,0.001,defaultAlgorithm
train___cat.10001.jpg,elephant,1.0E-5,defaultAlgorithm
train___cat.10002.jpg,cat,1.0,provided
train___cat.10003.jpg,cat,1.0,provided
train___cat.10004.jpg,cat,1.0,provided
train___cat.10005.jpg,cat,1.0,provided
train___cat.10006.jpg,cat,1.0,provided
train___cat.10007.jpg,cat,1.0,provided
train___cat.10008.jpg,cat,1.0,provided
train___cat.10009.jpg,cat,1.0,provided
train___cat.1001.jpg,cat,1.0,provided
train___cat.10010.jpg,cat,1.0,provided
train___cat.10011.jpg,cat,1.0,provided
train___cat.10012.jpg,cat,1.0,provided
train___cat.10013.jpg,cat,1.0,provided
train___cat.10014.jpg,cat,1.0,provided
train___cat.10015.jpg,cat,1.0,provided
train___cat.10016.jpg,cat,1.0,provided
train___cat.10017.jpg,cat,1.0,provided
train___cat.10018.jpg,cat,1.0,provided
train___cat.10019.jpg,cat,1.0,provided
train___cat.1002.jpg,cat,1.0,provided
train___cat.10020.jpg,cat,1.0,provided
train___cat.10021.jpg,cat,1.0,provided
train___cat.10022.jpg,cat,1.0,provided
train___cat.10023.jpg,cat,1.0,provided
train___cat.10024.jpg,cat,1.0,provided
train___cat.10025.jpg,cat,1.0,provided
train___cat.10026.jpg,cat,1.0,provided
train___cat.10027.jpg,cat,1.0,provided
train___cat.10028.jpg,cat,1.0,provided
train___cat.10029.jpg,cat,1.0,provided
train___cat.1003.jpg,cat,1.0,provided
train___cat.10030.jpg,cat,1.0,provided
train___cat.10031.jpg,cat,1.0,provided
train___cat.10032.jpg,cat,1.0,provided
train___cat.10033.jpg,cat,1.0,provided
train___cat.10034.jpg,cat,1.0,provided
train___cat.10035.jpg,cat,1.0,provided
train___cat.10036.jpg,cat,1.0,provided
train___cat.10037.jpg,cat,1.0,provided
train___cat.10038.jpg,cat,1.0,provided
train___cat.10039.jpg,cat,1.0,provided
train___cat.1004.jpg,cat,1.0,provided
train___cat.10040.jpg,cat,1.0,provided
train___cat.10041.jpg,cat,1.0,provided
train___cat.10042.jpg,cat,1.0,provided
train___cat.10043.jpg,cat,1.0,provided
train___cat.10044.jpg,cat,1.0,provided
train___cat.10045.jpg,cat,1.0,provided
train___cat.10046.jpg,cat,1.0,provided
train___cat.10047.jpg,cat,1.0,provided
train___cat.10048.jpg,cat,1.0,provided
train___cat.10049.jpg,cat,1.0,provided
train___cat.1005.jpg,cat,1.0,provided
train___cat.10050.jpg,cat,1.0,provided
train___cat.10051.jpg,cat,1.0,provided
train___cat.10052.jpg,cat,1.0,provided
train___cat.10053.jpg,cat,1.0,provided
train___cat.10054.jpg,cat,1.0,provided
train___cat.10055.jpg,cat,1.0,provided
train___cat.10056.jpg,cat,1.0,provided
train___cat.10057.jpg,cat,1.0,provided
train___cat.10058.jpg,cat,1.0,provided
train___cat.10059.jpg,cat,1.0,provided
train___cat.1006.jpg,cat,1.0,provided
train___cat.10060.jpg,cat,1.0,provided
train___cat.10061.jpg,cat,1.0,provided
train___cat.10062.jpg,cat,1.0,provided
train___cat.10063.jpg,cat,1.0,provided
train___cat.10064.jpg,cat,1.0,provided
train___cat.10065.jpg,cat,1.0,provided
